type,verb,replaces
arm,Bash,
arm,Bind,
arm,Braid,
arm,brush,file
arm,Carve,
arm,Catch,delve
arm,Chop,
arm,Clap,
arm,Clean,
arm,Click,
arm,Dig,
arm,Dunk,
arm,Fold,
arm,Grab,
arm,Grasp,
arm,Grip,
arm,Hack,
arm,Knock,tug
arm,Lift,
arm,Nip,
arm,Pat,
arm,Peel,
arm,Pull,grate
arm,Rub,
arm,Scrape,
arm,Scratch,
arm,Scrub,
arm,Seize,
arm,Stab,
arm,Stir,
arm,Switch,
arm,Throw,skim
arm,Toss,scoop
arm,Wash,
arm,Whip,
arm,Wipe,
leg,Climb,
leg,Crawl,
leg,Creep,
leg,Dance,
leg,Flee,
leg,Glide,
leg,Hike,
leg,Hop,
leg,Jog,
leg,Jump,scuff
leg,Kick,
leg,Kneel,
leg,Leap,
leg,Limp,
leg,Mount,
leg,Pace,
leg,Run,roam
leg,Skate,
leg,Skip,
leg,Slide,
leg,Slip,
leg,Sprint,
leg,Stamp,
leg,Step,
leg,Stomp,
leg,Stray,
leg,Stride,
leg,Stroll,
leg,Strut,
leg,Stumble,trudge
leg,Tiptoe,plod
leg,Tread,
leg,Trot,inch
leg,Wade,
leg,Walk,flit
leg,Wander,roll
